#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Armor
96.0,Drowzee,Psychic,,328.0,60,48,45,43,90,42,1.0,False,54
97.0,Hypno,Psychic,,483.0,85,73,70,73,115,67,1.0,False,84
98.0,Krabby,Water,,325.0,30,105,90,25,25,50,1.0,False,108
99.0,Kingler,Water,,475.0,55,130,115,50,50,75,1.0,False,138
100.0,Voltorb,Electric,,330.0,40,30,50,55,55,100,1.0,False,60
101.0,Electrode,Electric,,480.0,60,50,70,80,80,140,1.0,False,84
102.0,Exeggcute,Grass,Psychic,325.0,60,40,80,60,45,40,1.0,False,96
103.0,Exeggutor,Grass,Psychic,520.0,95,95,85,125,65,55,1.0,False,102
104.0,Cubone,Ground,,320.0,50,50,95,40,50,35,1.0,False,114
105.0,Marowak,Ground,,425.0,60,80,110,50,80,45,1.0,False,132
106.0,Hitmonlee,Fighting,,455.0,50,120,53,35,110,87,1.0,False,63
107.0,Hitmonchan,Fighting,,455.0,50,105,79,35,110,76,1.0,False,94
108.0,Lickitung,Normal,,385.0,90,55,75,60,75,30,1.0,False,90
109.0,Koffing,Poison,,340.0,40,65,95,60,45,35,1.0,False,114
110.0,Weezing,Poison,,490.0,65,90,120,85,70,60,1.0,False,144
111.0,Rhyhorn,Ground,Rock,345.0,80,85,95,30,30,25,1.0,False,114
112.0,Rhydon,Ground,Rock,485.0,105,130,120,45,45,40,1.0,False,144
113.0,Chansey,Normal,,450.0,250,5,5,35,105,50,1.0,False,6
114.0,Tangela,Grass,,435.0,65,55,115,100,40,60,1.0,False,138
115.0,Kangaskhan,Normal,,490.0,105,95,80,40,80,90,1.0,False,96
115.0,KangaskhanMega Kangaskhan,Normal,,590.0,105,125,100,60,100,100,1.0,False,120
116.0,Horsea,Water,,295.0,30,40,70,70,25,60,1.0,False,84
117.0,Seadra,Water,,440.0,55,65,95,95,45,85,1.0,False,114
118.0,Goldeen,Water,,320.0,45,67,60,35,50,63,1.0,False,72
119.0,Seaking,Water,,450.0,80,92,65,65,80,68,1.0,False,78
120.0,Staryu,Water,,340.0,30,45,55,70,55,85,1.0,False,66
121.0,Starmie,Water,Psychic,520.0,60,75,85,100,85,115,1.0,False,102
122.0,Mr. Mime,Psychic,Fairy,460.0,40,45,65,100,120,90,1.0,False,78
123.0,Scyther,Bug,Flying,500.0,70,110,80,55,80,105,1.0,False,96
124.0,Jynx,Ice,Psychic,455.0,65,50,35,115,95,95,1.0,False,42
125.0,Electabuzz,Electric,,490.0,65,83,57,95,85,105,1.0,False,68
126.0,Magmar,Fire,,495.0,65,95,57,100,85,93,1.0,False,68
127.0,Pinsir,Bug,,500.0,65,125,100,55,70,85,1.0,False,120
127.0,PinsirMega Pinsir,Bug,Flying,600.0,65,155,120,65,90,105,1.0,False,144
128.0,Tauros,Normal,,490.0,75,100,95,40,70,110,1.0,False,114
129.0,Magikarp,Water,,200.0,20,10,55,15,20,80,1.0,False,66
130.0,Gyarados,Water,Flying,540.0,95,125,79,60,100,81,1.0,False,94
130.0,GyaradosMega Gyarados,Water,Dark,640.0,95,155,109,70,130,81,1.0,False,130
131.0,Lapras,Water,Ice,535.0,130,85,80,85,95,60,1.0,False,96
132.0,Ditto,Normal,,288.0,48,48,48,48,48,48,1.0,False,57
133.0,Eevee,Normal,,325.0,55,55,50,45,65,55,1.0,False,60
134.0,Vaporeon,Water,,525.0,130,65,60,110,95,65,1.0,False,72
135.0,Jolteon,Electric,,525.0,65,65,60,110,95,130,1.0,False,72
136.0,Flareon,Fire,,525.0,65,130,60,95,110,65,1.0,False,72
137.0,Porygon,Normal,,395.0,65,60,70,85,75,40,1.0,False,84
138.0,Omanyte,Rock,Water,355.0,35,40,100,90,55,35,1.0,False,120
139.0,Omastar,Rock,Water,495.0,70,60,125,115,70,55,1.0,False,150
140.0,Kabuto,Rock,Water,355.0,30,80,90,55,45,55,1.0,False,108
141.0,Kabutops,Rock,Water,495.0,60,115,105,65,70,80,1.0,False,126
142.0,Aerodactyl,Rock,Flying,515.0,80,105,65,60,75,130,1.0,False,78
142.0,AerodactylMega Aerodactyl,Rock,Flying,615.0,80,135,85,70,95,150,1.0,False,102
143.0,Snorlax,Normal,,540.0,160,110,65,65,110,30,1.0,False,78
144.0,Articuno,Ice,Flying,580.0,90,85,100,95,125,85,1.0,True,120
145.0,Zapdos,Electric,Flying,580.0,90,90,85,125,90,100,1.0,True,102
146.0,Moltres,Fire,Flying,580.0,90,100,90,125,85,90,1.0,True,108
147.0,Dratini,Dragon,,300.0,41,64,45,50,50,50,1.0,False,54
148.0,Dragonair,Dragon,,420.0,61,84,65,70,70,70,1.0,False,78
149.0,Dragonite,Dragon,Flying,600.0,91,134,95,100,100,80,1.0,False,114
150.0,Mewtwo,Psychic,,680.0,106,110,90,154,90,130,1.0,True,108
150.0,MewtwoMega Mewtwo X,Psychic,Fighting,780.0,106,190,100,154,100,130,1.0,True,120
150.0,MewtwoMega Mewtwo Y,Psychic,,780.0,106,150,70,194,120,140,1.0,True,84
151.0,Mew,Psychic,,600.0,100,100,100,100,100,100,1.0,False,120
152.0,Chikorita,Grass,,318.0,45,49,65,49,65,45,2.0,False,78
153.0,Bayleef,Grass,,405.0,60,62,80,63,80,60,2.0,False,96
154.0,Meganium,Grass,,525.0,80,82,100,83,100,80,2.0,False,120
155.0,Cyndaquil,Fire,,309.0,39,52,43,60,50,65,2.0,False,51
156.0,Quilava,Fire,,405.0,58,64,58,80,65,80,2.0,False,69
157.0,Typhlosion,Fire,,534.0,78,84,78,109,85,100,2.0,False,93
158.0,Totodile,Water,,314.0,50,65,64,44,48,43,2.0,False,76
159.0,Croconaw,Water,,405.0,65,80,80,59,63,58,2.0,False,96
160.0,Feraligatr,Water,,530.0,85,105,100,79,83,78,2.0,False,120
161.0,Sentret,Normal,,215.0,35,46,34,35,45,20,2.0,False,40
162.0,Furret,Normal,,415.0,85,76,64,45,55,90,2.0,False,76
163.0,Hoothoot,Normal,Flying,262.0,60,30,30,36,56,50,2.0,False,36
164.0,Noctowl,Normal,Flying,442.0,100,50,50,76,96,70,2.0,False,60
165.0,Ledyba,Bug,Flying,265.0,40,20,30,40,80,55,2.0,False,36
166.0,Ledian,Bug,Flying,390.0,55,35,50,55,110,85,2.0,False,60
167.0,Spinarak,Bug,Poison,250.0,40,60,40,40,40,30,2.0,False,48
168.0,Ariados,Bug,Poison,390.0,70,90,70,60,60,40,2.0,False,84
169.0,Crobat,Poison,Flying,535.0,85,90,80,70,80,130,2.0,False,96
170.0,Chinchou,Water,Electric,330.0,75,38,38,56,56,67,2.0,False,45
171.0,Lanturn,Water,Electric,460.0,125,58,58,76,76,67,2.0,False,69
172.0,Pichu,Electric,,205.0,20,40,15,35,35,60,2.0,False,18
173.0,Cleffa,Fairy,,218.0,50,25,28,45,55,15,2.0,False,33
174.0,Igglybuff,Normal,Fairy,210.0,90,30,15,40,20,15,2.0,False,18
175.0,Togepi,Fairy,,245.0,35,20,65,40,65,20,2.0,False,78
176.0,Togetic,Fairy,Flying,405.0,55,40,85,80,105,40,2.0,False,102
177.0,Natu,Psychic,Flying,320.0,40,50,45,70,45,70,2.0,False,54
178.0,Xatu,Psychic,Flying,470.0,65,75,70,95,70,95,2.0,False,84
179.0,Mareep,Electric,,280.0,55,40,40,65,45,35,2.0,False,48
180.0,Flaaffy,Electric,,365.0,70,55,55,80,60,45,2.0,False,66
181.0,Ampharos,Electric,,510.0,90,75,85,115,90,55,2.0,False,102
181.0,AmpharosMega Ampharos,Electric,Dragon,610.0,90,95,105,165,110,45,2.0,False,126
182.0,Bellossom,Grass,,490.0,75,80,95,90,100,50,2.0,False,114
183.0,Marill,Water,Fairy,250.0,70,20,50,20,50,40,2.0,False,60
184.0,Azumarill,Water,Fairy,420.0,100,50,80,60,80,50,2.0,False,96
185.0,Sudowoodo,Rock,,410.0,70,100,115,30,65,30,2.0,False,138
186.0,Politoed,Water,,500.0,90,75,75,90,100,70,2.0,False,90
187.0,Hoppip,Grass,Flying,250.0,35,35,40,35,55,50,2.0,False,48
188.0,Skiploom,Grass,Flying,340.0,55,45,50,45,65,80,2.0,False,60
189.0,Jumpluff,Grass,Flying,460.0,75,55,70,55,95,110,2.0,False,84
190.0,Aipom,Normal,,360.0,55,70,55,40,55,85,2.0,False,66
191.0,Sunkern,Grass,,180.0,30,30,30,30,30,30,2.0,False,36
192.0,Sunflora,Grass,,425.0,75,75,55,105,85,30,2.0,False,66
193.0,Yanma,Bug,Flying,390.0,65,65,45,75,45,95,2.0,False,54
194.0,Wooper,Water,Ground,210.0,55,45,45,25,25,15,2.0,False,54
195.0,Quagsire,Water,Ground,430.0,95,85,85,65,65,35,2.0,False,102
196.0,Espeon,Psychic,,525.0,65,65,60,130,95,110,2.0,False,72
197.0,Umbreon,Dark,,525.0,95,65,110,60,130,65,2.0,False,132
198.0,Murkrow,Dark,Flying,405.0,60,85,42,85,42,91,2.0,False,50
199.0,Slowking,Water,Psychic,490.0,95,75,80,100,110,30,2.0,False,96
200.0,Misdreavus,Ghost,,435.0,60,60,60,85,85,85,2.0,False,72
201.0,Unown,Psychic,,336.0,48,72,48,72,48,48,2.0,False,57
202.0,Wobbuffet,Psychic,,405.0,190,33,58,33,58,33,2.0,False,69
203.0,Girafarig,Normal,Psychic,455.0,70,80,65,90,65,85,2.0,False,78
204.0,Pineco,Bug,,290.0,50,65,90,35,35,15,2.0,False,108
205.0,Forretress,Bug,Steel,465.0,75,90,140,60,60,40,2.0,False,168
206.0,Dunsparce,Normal,,415.0,100,70,70,65,65,45,2.0,False,84
207.0,Gligar,Ground,Flying,430.0,65,75,105,35,65,85,2.0,False,126
208.0,Steelix,Steel,Ground,510.0,75,85,200,55,65,30,2.0,False,240
208.0,SteelixMega Steelix,Steel,Ground,610.0,75,125,230,55,95,30,2.0,False,276
209.0,Snubbull,Fairy,,300.0,60,80,50,40,40,30,2.0,False,60
210.0,Granbull,Fairy,,450.0,90,120,75,60,60,45,2.0,False,90
211.0,Qwilfish,Water,Poison,430.0,65,95,75,55,55,85,2.0,False,90
212.0,Scizor,Bug,Steel,500.0,70,130,100,55,80,65,2.0,False,120
212.0,ScizorMega Scizor,Bug,Steel,600.0,70,150,140,65,100,75,2.0,False,168
213.0,Shuckle,Bug,Rock,505.0,20,10,230,10,230,5,2.0,False,276
214.0,Heracross,Bug,Fighting,500.0,80,125,75,40,95,85,2.0,False,90
214.0,HeracrossMega Heracross,Bug,Fighting,600.0,80,185,115,40,105,75,2.0,False,138
215.0,Sneasel,Dark,Ice,430.0,55,95,55,35,75,115,2.0,False,66
216.0,Teddiursa,Normal,,330.0,60,80,50,50,50,40,2.0,False,60
217.0,Ursaring,Normal,,500.0,90,130,75,75,75,55,2.0,False,90
218.0,Slugma,Fire,,250.0,40,40,40,70,40,20,2.0,False,48
219.0,Magcargo,Fire,Rock,410.0,50,50,120,80,80,30,2.0,False,144
220.0,Swinub,Ice,Ground,250.0,50,50,40,30,30,50,2.0,False,48
221.0,Piloswine,Ice,Ground,450.0,100,100,80,60,60,50,2.0,False,96
222.0,Corsola,Water,Rock,380.0,55,55,85,65,85,35,2.0,False,102
223.0,Remoraid,Water,,300.0,35,65,35,65,35,65,2.0,False,42
224.0,Octillery,Water,,480.0,75,105,75,105,75,45,2.0,False,90
225.0,Delibird,Ice,Flying,330.0,45,55,45,65,45,75,2.0,False,54
226.0,Mantine,Water,Flying,465.0,65,40,70,80,140,70,2.0,False,84
227.0,Skarmory,Steel,Flying,465.0,65,80,140,40,70,70,2.0,False,168
228.0,Houndour,Dark,Fire,330.0,45,60,30,80,50,65,2.0,False,36
229.0,Houndoom,Dark,Fire,500.0,75,90,50,110,80,95,2.0,False,60
229.0,HoundoomMega Houndoom,Dark,Fire,600.0,75,90,90,140,90,115,2.0,False,108
230.0,Kingdra,Water,Dragon,540.0,75,95,95,95,95,85,2.0,False,114
231.0,Phanpy,Ground,,330.0,90,60,60,40,40,40,2.0,False,72
232.0,Donphan,Ground,,500.0,90,120,120,60,60,50,2.0,False,144
233.0,Porygon2,Normal,,515.0,85,80,90,105,95,60,2.0,False,108
234.0,Stantler,Normal,,465.0,73,95,62,85,65,85,2.0,False,74
235.0,Smeargle,Normal,,250.0,55,20,35,20,45,75,2.0,False,42
236.0,Tyrogue,Fighting,,210.0,35,35,35,35,35,35,2.0,False,42
237.0,Hitmontop,Fighting,,455.0,50,95,95,35,110,70,2.0,False,114
238.0,Smoochum,Ice,Psychic,305.0,45,30,15,85,65,65,2.0,False,18
239.0,Elekid,Electric,,360.0,45,63,37,65,55,95,2.0,False,44
240.0,Magby,Fire,,365.0,45,75,37,70,55,83,2.0,False,44
241.0,Miltank,Normal,,490.0,95,80,105,40,70,100,2.0,False,126
242.0,Blissey,Normal,,540.0,255,10,10,75,135,55,2.0,False,12
243.0,Raikou,Electric,,580.0,90,85,75,115,100,115,2.0,True,90
244.0,Entei,Fire,,580.0,115,115,85,90,75,100,2.0,True,102
245.0,Suicune,Water,,580.0,100,75,115,90,115,85,2.0,True,138
246.0,Larvitar,Rock,Ground,300.0,50,64,50,45,50,41,2.0,False,60
247.0,Pupitar,Rock,Ground,410.0,70,84,70,65,70,51,2.0,False,84
248.0,Tyranitar,Rock,Dark,600.0,100,134,110,95,100,61,2.0,False,132
248.0,TyranitarMega Tyranitar,Rock,Dark,700.0,100,164,150,95,120,71,2.0,False,180
249.0,Lugia,Psychic,Flying,680.0,106,90,130,90,154,110,2.0,True,156
250.0,Ho-oh,Fire,Flying,680.0,106,130,90,110,154,90,2.0,True,108
251.0,Celebi,Psychic,Grass,600.0,100,100,100,100,100,100,2.0,False,120
252.0,Treecko,Grass,,310.0,40,45,35,65,55,70,3.0,False,42
253.0,Grovyle,Grass,,405.0,50,65,45,85,65,95,3.0,False,54
254.0,Sceptile,Grass,,530.0,70,85,65,105,85,120,3.0,False,78
254.0,SceptileMega Sceptile,Grass,Dragon,630.0,70,110,75,145,85,145,3.0,False,90
255.0,Torchic,Fire,,310.0,45,60,40,70,50,45,3.0,False,48
256.0,Combusken,Fire,Fighting,405.0,60,85,60,85,60,55,3.0,False,72
257.0,Blaziken,Fire,Fighting,530.0,80,120,70,110,70,80,3.0,False,84
257.0,BlazikenMega Blaziken,Fire,Fighting,630.0,80,160,80,130,80,100,3.0,False,96
258.0,Mudkip,Water,,310.0,50,70,50,50,50,40,3.0,False,60
259.0,Marshtomp,Water,Ground,405.0,70,85,70,60,70,50,3.0,False,84
260.0,Swampert,Water,Ground,535.0,100,110,90,85,90,60,3.0,False,108
260.0,SwampertMega Swampert,Water,Ground,635.0,100,150,110,95,110,70,3.0,False,132
261.0,Poochyena,Dark,,220.0,35,55,35,30,30,35,3.0,False,42
262.0,Mightyena,Dark,,420.0,70,90,70,60,60,70,3.0,False,84
263.0,Zigzagoon,Normal,,240.0,38,30,41,30,41,60,3.0,False,49
264.0,Linoone,Normal,,420.0,78,70,61,50,61,100,3.0,False,73
265.0,Wurmple,Bug,,195.0,45,45,35,20,30,20,3.0,False,42
266.0,Silcoon,Bug,,205.0,50,35,55,25,25,15,3.0,False,66
267.0,Beautifly,Bug,Flying,395.0,60,70,50,100,50,65,3.0,False,60
268.0,Cascoon,Bug,,205.0,50,35,55,25,25,15,3.0,False,66
269.0,Dustox,Bug,Poison,385.0,60,50,70,50,90,65,3.0,False,84
270.0,Lotad,Water,Grass,220.0,40,30,30,40,50,30,3.0,False,36
271.0,Lombre,Water,Grass,340.0,60,50,50,60,70,50,3.0,False,60
272.0,Ludicolo,Water,Grass,480.0,80,70,70,90,100,70,3.0,False,84
273.0,Seedot,Grass,,220.0,40,40,50,30,30,30,3.0,False,60
274.0,Nuzleaf,Grass,Dark,340.0,70,70,40,60,40,60,3.0,False,48
275.0,Shiftry,Grass,Dark,480.0,90,100,60,90,60,80,3.0,False,72
276.0,Taillow,Normal,Flying,270.0,40,55,30,30,30,85,3.0,False,36
277.0,Swellow,Normal,Flying,430.0,60,85,60,50,50,125,3.0,False,72
278.0,Wingull,Water,Flying,270.0,40,30,30,55,30,85,3.0,False,36
279.0,Pelipper,Water,Flying,430.0,60,50,100,85,70,65,3.0,False,120
280.0,Ralts,Psychic,Fairy,198.0,28,25,25,45,35,40,3.0,False,30
281.0,Kirlia,Psychic,Fairy,278.0,38,35,35,65,55,50,3.0,False,42
282.0,Gardevoir,Psychic,Fairy,518.0,68,65,65,125,115,80,3.0,False,78
282.0,GardevoirMega Gardevoir,Psychic,Fairy,618.0,68,85,65,165,135,100,3.0,False,78
283.0,Surskit,Bug,Water,269.0,40,30,32,50,52,65,3.0,False,38
284.0,Masquerain,Bug,Flying,414.0,70,60,62,80,82,60,3.0,False,74
285.0,Shroomish,Grass,,295.0,60,40,60,40,60,35,3.0,False,72
286.0,Breloom,Grass,Fighting,460.0,60,130,80,60,60,70,3.0,False,96
287.0,Slakoth,Normal,,280.0,60,60,60,35,35,30,3.0,False,72
288.0,Vigoroth,Normal,,440.0,80,80,80,55,55,90,3.0,False,96
289.0,Slaking,Normal,,670.0,150,160,100,95,65,100,3.0,False,120
290.0,Nincada,Bug,Ground,266.0,31,45,90,30,30,40,3.0,False,108
291.0,Ninjask,Bug,Flying,456.0,61,90,45,50,50,160,3.0,False,54
292.0,Shedinja,Bug,Ghost,236.0,1,90,45,30,30,40,3.0,False,54
293.0,Whismur,Normal,,240.0,64,51,23,51,23,28,3.0,False,27
294.0,Loudred,Normal,,360.0,84,71,43,71,43,48,3.0,False,51
295.0,Exploud,Normal,,490.0,104,91,63,91,73,68,3.0,False,75
296.0,Makuhita,Fighting,,237.0,72,60,30,20,30,25,3.0,False,36
297.0,Hariyama,Fighting,,474.0,144,120,60,40,60,50,3.0,False,72
298.0,Azurill,Normal,Fairy,190.0,50,20,40,20,40,20,3.0,False,48
299.0,Nosepass,Rock,,375.0,30,45,135,45,90,30,3.0,False,162
300.0,Skitty,Normal,,260.0,50,45,45,35,35,50,3.0,False,54
301.0,Delcatty,Normal,,380.0,70,65,65,55,55,70,3.0,False,78
302.0,Sableye,Dark,Ghost,380.0,50,75,75,65,65,50,3.0,False,90
302.0,SableyeMega Sableye,Dark,Ghost,480.0,50,85,125,85,115,20,3.0,False,150
303.0,Mawile,Steel,Fairy,380.0,50,85,85,55,55,50,3.0,False,102
303.0,MawileMega Mawile,Steel,Fairy,480.0,50,105,125,55,95,50,3.0,False,150
304.0,Aron,Steel,Rock,330.0,50,70,100,40,40,30,3.0,False,120
305.0,Lairon,Steel,Rock,430.0,60,90,140,50,50,40,3.0,False,168
306.0,Aggron,Steel,Rock,530.0,70,110,180,60,60,50,3.0,False,216
306.0,AggronMega Aggron,Steel,,630.0,70,140,230,60,80,50,3.0,False,276
307.0,Meditite,Fighting,Psychic,280.0,30,40,55,40,55,60,3.0,False,66
308.0,Medicham,Fighting,Psychic,410.0,60,60,75,60,75,80,3.0,False,90
308.0,MedichamMega Medicham,Fighting,Psychic,510.0,60,100,85,80,85,100,3.0,False,102
309.0,Electrike,Electric,,295.0,40,45,40,65,40,65,3.0,False,48
310.0,Manectric,Electric,,475.0,70,75,60,105,60,105,3.0,False,72
